,LEA Code,LEA Name,School Code,School Name,Entity Type,Ward,Student Group,Grade,Percent Enrolled,Enrollment Count,Total Count of Students,Total Per-Pupil Expenditure,School Expenditures: State/Local,School Expenditures: Federal,Total School Level Expenditure,School Level: State/Local,School Level: Federal,Centralized Expenditures,Centralized Expenditures: State/Local,Centralized Expenditures: Federal,id
0,001,District of Columbia Public Schools,175,School-Within-School @ Goding,DCPS,6,At-Risk,All,5.0,,320.0,20573,18759,1814,13698.0,13382.0,316.0,6875.0,5377.0,1498.0,175School-Within-School @ Goding
1,001,District of Columbia Public Schools,202,Aiton Elementary School,DCPS,7,At-Risk,All,76.0,,268.0,20775,17827,2948,13900.0,12450.0,1451.0,6875.0,5377.0,1498.0,202Aiton Elementary School
2,001,District of Columbia Public Schools,203,Amidon-Bowen Elementary School,DCPS,6,At-Risk,All,63.0,,362.0,19992,17609,2383,13117.0,12231.0,886.0,6875.0,5377.0,1498.0,203Amidon-Bowen Elementary School
3,001,District of Columbia Public Schools,204,Bancroft Elementary School,DCPS,1,At-Risk,All,25.0,,591.0,20840,18501,2340,13965.0,13123.0,842.0,6875.0,5377.0,1498.0,204Bancroft Elementary School
4,001,District of Columbia Public Schools,205,Barnard Elementary School,DCPS,4,At-Risk,All,46.0,,700.0,21210,18738,2472,14335.0,13361.0,974.0,6875.0,5377.0,1498.0,205Barnard Elementary School
5,001,District of Columbia Public Schools,206,Beers Elementary School,DCPS,7,At-Risk,All,55.0,,524.0,20598,17782,2816,13723.0,12404.0,1318.0,6875.0,5377.0,1498.0,206Beers Elementary School
6,001,District of Columbia Public Schools,212,Brent Elementary School,DCPS,6,At-Risk,All,4.0,,439.0,16933,15183,1750,10058.0,9805.0,252.0,6875.0,5377.0,1498.0,212Brent Elementary School
7,001,District of Columbia Public Schools,213,Brightwood Education Campus,DCPS,4,At-Risk,All,36.0,,835.0,20682,18419,2263,13807.0,13041.0,766.0,6875.0,5377.0,1498.0,213Brightwood Education Campus
8,001,District of Columbia Public Schools,219,Bunker Hill Elementary School,DCPS,5,At-Risk,All,45.0,,259.0,21933,19037,2896,15058.0,13660.0,1398.0,6875.0,5377.0,1498.0,219Bunker Hill Elementary School
9,001,District of Columbia Public Schools,220,Burroughs Elementary School,DCPS,5,At-Risk,All,45.0,,301.0,23352,20873,2479,16477.0,15496.0,981.0,6875.0,5377.0,1498.0,220Burroughs Elementary School
10,001,District of Columbia Public Schools,221,Burrville Elementary School,DCPS,7,At-Risk,All,68.0,,336.0,19857,17468,2389,12982.0,12091.0,891.0,6875.0,5377.0,1498.0,221Burrville Elementary School
11,001,District of Columbia Public Schools,224,Cleveland Elementary School,DCPS,1,At-Risk,All,51.0,,323.0,22738,20342,2396,15863.0,14965.0,899.0,6875.0,5377.0,1498.0,224Cleveland Elementary School
12,001,District of Columbia Public Schools,227,H.D. Cooke Elementary School,DCPS,1,At-Risk,All,44.0,,426.0,22164,19889,2274,15289.0,14512.0,777.0,6875.0,5377.0,1498.0,227H.D. Cooke Elementary School
13,001,District of Columbia Public Schools,231,Drew Elementary School,DCPS,7,At-Risk,All,74.0,,280.0,22743,19699,3044,15868.0,14322.0,1547.0,6875.0,5377.0,1498.0,231Drew Elementary School
14,001,District of Columbia Public Schools,232,Eaton Elementary School,DCPS,3,At-Risk,All,6.0,,495.0,16802,15096,1706,9927.0,9718.0,209.0,6875.0,5377.0,1498.0,232Eaton Elementary School
15,001,District of Columbia Public Schools,238,Garfield Elementary School,DCPS,8,At-Risk,All,83.0,,326.0,22386,19949,2437,15511.0,14571.0,940.0,6875.0,5377.0,1498.0,238Garfield Elementary School
16,001,District of Columbia Public Schools,239,Garrison Elementary School,DCPS,2,At-Risk,All,38.0,,307.0,21141,18780,2361,14266.0,13403.0,863.0,6875.0,5377.0,1498.0,239Garrison Elementary School
17,001,District of Columbia Public Schools,246,Hardy Middle School,DCPS,2,At-Risk,All,18.0,,480.0,19206,17330,1876,12331.0,11953.0,378.0,6875.0,5377.0,1498.0,246Hardy Middle School
18,001,District of Columbia Public Schools,247,C.W. Harris Elementary School,DCPS,7,At-Risk,All,80.0,,262.0,23506,21009,2496,16631.0,15632.0,999.0,6875.0,5377.0,1498.0,247C.W. Harris Elementary School
19,001,District of Columbia Public Schools,249,Hendley Elementary School,DCPS,8,At-Risk,All,90.0,,436.0,22187,19816,2371,15312.0,14438.0,873.0,6875.0,5377.0,1498.0,249Hendley Elementary School
20,001,District of Columbia Public Schools,251,Houston Elementary School,DCPS,7,At-Risk,All,65.0,,296.0,23169,20767,2402,16294.0,15390.0,904.0,6875.0,5377.0,1498.0,251Houston Elementary School
21,001,District of Columbia Public Schools,252,Hyde-Addison Elementary School @ Meyer,DCPS,2,At-Risk,All,11.0,,377.0,17208,15406,1802,10333.0,10028.0,304.0,6875.0,5377.0,1498.0,252Hyde-Addison Elementary School @ Meyer
22,001,District of Columbia Public Schools,254,Janney Elementary School,DCPS,3,At-Risk,All,1.0,,748.0,15805,14015,1790,8930.0,8638.0,292.0,6875.0,5377.0,1498.0,254Janney Elementary School
23,001,District of Columbia Public Schools,257,Ketcham Elementary School,DCPS,8,At-Risk,All,83.0,,334.0,18623,16225,2399,11748.0,10847.0,901.0,6875.0,5377.0,1498.0,257Ketcham Elementary School
24,001,District of Columbia Public Schools,258,Hearst Elementary School,DCPS,3,At-Risk,All,8.0,,353.0,19015,17218,1797,12140.0,11841.0,299.0,6875.0,5377.0,1498.0,258Hearst Elementary School
25,001,District of Columbia Public Schools,259,Kimball Elementary School @ Davis,DCPS,7,At-Risk,All,83.0,,384.0,19018,16736,2282,12143.0,11359.0,784.0,6875.0,5377.0,1498.0,259Kimball Elementary School @ Davis
26,001,District of Columbia Public Schools,261,Lafayette Elementary School,DCPS,4,At-Risk,All,4.0,,904.0,16317,14073,2244,9442.0,8695.0,746.0,6875.0,5377.0,1498.0,261Lafayette Elementary School
27,001,District of Columbia Public Schools,262,Langdon Elementary School,DCPS,5,At-Risk,All,64.0,,425.0,19586,17371,2215,12711.0,11994.0,718.0,6875.0,5377.0,1498.0,262Langdon Elementary School
28,001,District of Columbia Public Schools,264,LaSalle-Backus Education Campus,DCPS,4,At-Risk,All,58.0,,446.0,23166,20906,2259,16291.0,15529.0,762.0,6875.0,5377.0,1498.0,264LaSalle-Backus Education Campus
29,001,District of Columbia Public Schools,266,Leckie Education Campus,DCPS,8,At-Risk,All,49.0,,576.0,18808,16386,2422,11933.0,11008.0,924.0,6875.0,5377.0,1498.0,266Leckie Education Campus
30,001,District of Columbia Public Schools,271,Ludlow-Taylor Elementary School,DCPS,6,At-Risk,All,21.0,,448.0,20481,18152,2329,13606.0,12774.0,832.0,6875.0,5377.0,1498.0,271Ludlow-Taylor Elementary School
31,001,District of Columbia Public Schools,272,Key Elementary School,DCPS,3,At-Risk,All,1.0,,404.0,17696,15926,1770,10821.0,10548.0,273.0,6875.0,5377.0,1498.0,272Key Elementary School
32,001,District of Columbia Public Schools,273,Mann Elementary School,DCPS,3,At-Risk,All,2.0,,418.0,17218,15453,1765,10343.0,10075.0,267.0,6875.0,5377.0,1498.0,273Mann Elementary School
33,001,District of Columbia Public Schools,274,Maury Elementary School @ Eliot-Hine,DCPS,6,At-Risk,All,9.0,,431.0,17255,15490,1765,10380.0,10113.0,267.0,6875.0,5377.0,1498.0,274Maury Elementary School @ Eliot-Hine
34,001,District of Columbia Public Schools,280,Miner Elementary School,DCPS,6,At-Risk,All,62.0,,417.0,21511,19252,2259,14636.0,13874.0,761.0,6875.0,5377.0,1498.0,280Miner Elementary School
35,001,District of Columbia Public Schools,284,Marie Reed Elementary School,DCPS,1,At-Risk,All,28.0,,466.0,22831,20498,2332,15956.0,15121.0,835.0,6875.0,5377.0,1498.0,284Marie Reed Elementary School
36,001,District of Columbia Public Schools,285,Moten Elementary School,DCPS,8,At-Risk,All,83.0,,403.0,21305,18636,2669,14430.0,13259.0,1172.0,6875.0,5377.0,1498.0,285Moten Elementary School
37,001,District of Columbia Public Schools,287,Murch Elementary School,DCPS,3,At-Risk,All,5.0,,642.0,16791,14965,1827,9916.0,9587.0,329.0,6875.0,5377.0,1498.0,287Murch Elementary School
38,001,District of Columbia Public Schools,288,Nalle Elementary School,DCPS,7,At-Risk,All,72.0,,425.0,20284,18039,2245,13409.0,12662.0,747.0,6875.0,5377.0,1498.0,288Nalle Elementary School
39,001,District of Columbia Public Schools,290,Noyes Elementary School,DCPS,5,At-Risk,All,70.0,,288.0,23168,20785,2383,16293.0,15407.0,886.0,6875.0,5377.0,1498.0,290Noyes Elementary School
40,001,District of Columbia Public Schools,291,Lawrence E. Boone Elementary School,DCPS,8,At-Risk,All,77.0,,458.0,18464,16285,2179,11589.0,10908.0,681.0,6875.0,5377.0,1498.0,291Lawrence E. Boone Elementary School
41,001,District of Columbia Public Schools,292,Oyster-Adams Bilingual School,DCPS,3,At-Risk,All,8.0,,742.0,18955,17158,1797,12080.0,11781.0,299.0,6875.0,5377.0,1498.0,292Oyster-Adams Bilingual School
42,001,District of Columbia Public Schools,294,Patterson Elementary School,DCPS,8,At-Risk,All,90.0,,442.0,22011,19016,2995,15136.0,13639.0,1497.0,6875.0,5377.0,1498.0,294Patterson Elementary School
43,001,District of Columbia Public Schools,295,Payne Elementary School,DCPS,6,At-Risk,All,45.0,,361.0,21855,19466,2389,14980.0,14088.0,892.0,6875.0,5377.0,1498.0,295Payne Elementary School
44,001,District of Columbia Public Schools,296,Bruce-Monroe Elementary School @ Park View,DCPS,1,At-Risk,All,38.0,,488.0,22121,19909,2212,15246.0,14531.0,715.0,6875.0,5377.0,1498.0,296Bruce-Monroe Elementary School @ Park View
45,001,District of Columbia Public Schools,299,Plummer Elementary School,DCPS,7,At-Risk,All,75.0,,382.0,21110,18688,2422,14235.0,13310.0,925.0,6875.0,5377.0,1498.0,299Plummer Elementary School
46,001,District of Columbia Public Schools,300,Powell Elementary School,DCPS,4,At-Risk,All,33.0,,567.0,19845,17408,2436,12970.0,12031.0,939.0,6875.0,5377.0,1498.0,300Powell Elementary School
